[  6]   0.00-6.60   sec   100 MBytes   127 Mbits/sec    0             sender
[  6]   0.00-6.70   sec  99.9 MBytes   125 Mbits/sec                  receiver

iperf Done.

2024-12-10 03:46:19 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:46:19 RTT: 115.944ms RTTVar: 0.574ms CWND: 368 SSTHRESH: 75
2024-12-10 03:46:19 RTT: 179.162ms RTTVar: 98.558ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:46:19 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:46:19 RTT: 119.591ms RTTVar: 0.078ms CWND: 368 SSTHRESH: 75
2024-12-10 03:46:19 RTT: 179.162ms RTTVar: 98.558ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:46:19 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:46:19 RTT: 119.56ms RTTVar: 0.066ms CWND: 368 SSTHRESH: 75
2024-12-10 03:46:19 RTT: 179.162ms RTTVar: 98.558ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:46:19 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:46:19 RTT: 120.087ms RTTVar: 0.311ms CWND: 368 SSTHRESH: 75
2024-12-10 03:46:19 RTT: 169.402ms RTTVar: 93.439ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:46:19 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
