[  6]   0.00-6.70   sec   100 MBytes   125 Mbits/sec    0             sender
[  6]   0.00-6.80   sec   100 MBytes   123 Mbits/sec                  receiver

iperf Done.

2024-12-10 03:58:39 RTT: 132.794ms RTTVar: 0.369ms CWND: 374 SSTHRESH: 77
2024-12-10 03:58:39 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:39 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:39 RTT: 119.405ms RTTVar: 0.127ms CWND: 374 SSTHRESH: 77
2024-12-10 03:58:39 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:39 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:39 RTT: 119.794ms RTTVar: 0.624ms CWND: 374 SSTHRESH: 77
2024-12-10 03:58:39 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:39 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:39 RTT: 119.965ms RTTVar: 0.005ms CWND: 374 SSTHRESH: 77
2024-12-10 03:58:39 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:39 RTT: 167.841ms RTTVar: 91.947ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:39 RTT: 116.864ms RTTVar: 0.73ms CWND: 374 SSTHRESH: 77
2024-12-10 03:58:39 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
